title,release_year,imdb_link,plot_des,runtime,budget,opening_weekend_gross,box_office_gross,studio,mpaa_rating,award,critic_score,audience_score,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,rotten_link,count_award
BECOMING ASTRID,2018,https://www.imdb.com/title/tt6433456/,"Biopic of Swedish writer Astrid Lindgren, the author of numerous children's books and creator of Pippi Longstocking.",123,,"$5,361,","$938,766",Nordisk Film Production Sverige AB,,0,96,80,"Nov 23, 2018",,"Mar 19, 2019","['history', 'drama', 'biography']","['Maria Bonnevie', 'Magnus Krepper', 'Henrik Zein', 'Suzanne Glansborg', 'Lars G. Lindström', 'Liv LeMoyne', 'Trine Dyrholm', 'Tess Lindberg', 'Kim Fupz Aakeson', 'Mira Mitchell', 'Henrik Rafaelsen', 'Björn Gustafson', 'Maria Dahlin', 'Erik Molberg Hansen', 'Maria Alm Norell', 'Anna Anthony', 'Alba August', 'Sofia Karemyr', 'Pernille Fischer Christensen']",['Pernille Fischer Christensen'],https://www.rottentomatoes.com/m/becoming_astrid,0
BLACK CHRISTMAS,2019,https://www.imdb.com/title/tt10481868/,A group of female students is stalked by a stranger during their Christmas break. That is until the young sorority pledges discover that the killer is part of an underground college conspiracy.,92,,,,,PG-13,0,38,31,"Dec 13, 2019",,"Dec 13, 2019","['mysteryandthriller', 'other', 'horror']","['April Wolfe', ""Brittany O'Grady"", 'Sophia Takal', 'Jeanette Volturno', 'Adam Hendricks', 'Simon Mead', 'Madeleine Adams', 'Ben Cosgrove', 'Ben Black', 'Caleb Eberhardt', 'Cary Elwes', 'Greg Gilreath', 'Couper Samuelson', 'Nathalie Morris', 'Lily Donoghue', 'Jason Blum', 'Imogen Poots', 'Brigitte Berman', 'Aleyse Shannon']",['Sophia Takal'],https://www.rottentomatoes.com/m/black_christmas_2019,0
DIG TWO GRAVES,2014,https://www.imdb.com/title/tt2633076/,"After her brother's tragic death, a young girl is approached by three men who claim they can bring her brother back to life.",85,,,,Dig Two Graves Productions,Not Rated,0,71,39,"Mar 24, 2017",,"Apr 24, 2017","['horror', 'mysteryandthriller']","['P.J. Fishwick', 'Ann Sonneville', 'Hunter Adams', 'Ted Levine', 'Samantha Isler', 'Brian Deming', 'Claire Connelly', 'Danny Goldring', 'Eric Maddison', 'Ryan Kattner', 'Dean Evans', 'Bradley Grant Smith', 'Jeremy Phillips', 'Troy Ruptash', 'Joseph Plummer', 'Rachael Drummond']",['Hunter Adams'],https://www.rottentomatoes.com/m/dig_two_graves_2017,0
JEFF WHO LIVES AT HOME,2011,https://www.imdb.com/title/tt1588334/,"Dispatched from his basement room on an errand for his widowed mother, slacker Jeff might discover his destiny (finally) when he spends the day with his unhappily married brother as he tracks his possibly adulterous wife.",83,,,,,R,0,77,62,"Mar 16, 2012",,"Jun 6, 2014","['comedy', 'drama']","['Jason Reitman', 'Lee Nguyen', 'Chris Spellman', 'Mark Duplass', 'Jay Deuby', 'Jason Segel', 'Lianne Halfon', 'Ed Helms', 'Russell Smith', 'Susan Sarandon', 'Evan Ross', 'Judy Greer', 'Steve Zissis', 'Jay Duplass', 'Jas Shelton', 'Michael Andrews', 'Terri Taylor', 'Rae Dawn Chong']",['Jay Duplass'],https://www.rottentomatoes.com/m/jeff_who_lives_at_home,0
KNIGHT OF CUPS,2015,https://www.imdb.com/title/tt2101383/,A writer indulging in all that Los Angeles and Las Vegas has to offer undertakes a search for love and self via a series of adventures with six different women.,118,,"$60,551,","$1,026,288",Dogwood Films,R,0,47,37,"Mar 4, 2016",,"Jun 14, 2016",['drama'],"['Christian Bale', 'Keith Fraase', 'Ken Kao', 'Wes Bentley', 'Geoffrey Richman', 'Emmanuel Lubezki', 'Natalie Portman', 'Nicolas Gonda', 'Tanner Beard', 'Freida Pinto', 'Teresa Palmer', 'Glen Basner', 'Armin Mueller-Stahl', 'Brian Dennehy', 'Sarah Green', 'Antonio Banderas', 'Terrence Malick', 'Cate Blanchett', 'Isabel Lucas']",['Terrence Malick'],https://www.rottentomatoes.com/m/knight_of_cups,0
LITTLE FOCKERS,2010,https://www.imdb.com/title/tt0970866/,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?",98,"$100,000,000","$30,833,665,","$310,650,585",Universal Pictures,PG-13,1,9,34,"Dec 22, 2010",,"Aug 16, 2016",['comedy'],"['Jessica Alba', 'Meghan Lyvers', 'Dustin Hoffman', 'Ben Stiller', 'John Hamburg', 'Nancy Tenenbaum', 'Barbra Streisand', 'Owen Wilson', 'Larry Stuckey', 'Teri Polo', 'Laura Dern', 'Jane Rosenthal', 'Daniel Lupi', 'Blythe Danner', 'Harvey Keitel', 'Jay Roach', 'Robert De Niro', 'Paul Weitz']",['Paul Weitz'],https://www.rottentomatoes.com/m/little_fockers,2
LUCY,2014,https://www.imdb.com/title/tt2872732/,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",89,"$40,000,000","$43,899,340,","$458,863,600",EuropaCorp,R,0,66,47,"Jul 25, 2014",,"May 17, 2016","['action', 'scifi', 'mysteryandthriller']","['Nicolas Phongpheth', 'Scarlett Johansson', 'Gilles Boillot', 'Amr Waked', 'Marc Shmuger', 'Luca Angeletti', 'Eric Serra', 'Julian Rhind-Tutt', 'Virginie Besson-Silla', 'Morgan Freeman', 'Luc Besson', 'Julien Rey', 'Pilou Asbæk', 'Choi Min-sik', 'Jan Oliver Schroeder', 'Analeigh Tipton', 'Thierry Arbogast', 'Hugues Tissandier', 'Olivier Bériot']",['Luc Besson'],https://www.rottentomatoes.com/m/lucy_2014,0
MOTHERS DAY,2016,https://www.imdb.com/title/tt4824302/,Three generations come together in the week leading up to Mother's Day.,118,"$25,000,000","$8,369,184,","$48,782,670",Open Road Films (II),PG-13,0,8,44,"Apr 29, 2016",,"Aug 2, 2016","['comedy', 'drama', 'romance']","['Héctor Elizondo', 'Garry Marshall', 'Aasif Mandvi', 'Britt Robertson', 'Timothy Olyphant', 'Jack Whitehall', 'Matt Walker', 'Jennifer Aniston', 'Mark DiSalle', 'Jennifer Garner', 'Julia Roberts', 'Kate Hudson', 'Mike Karz', 'Wayne Rice', 'Brandt Andersen', 'Anya Kochoff Romano', 'Tom Hines', 'Jason Sudeikis', 'Daniel Diamond', 'Howard Burd']",['Garry Marshall'],https://www.rottentomatoes.com/m/mothers_day_2016,0
ON THE ICE,2011,https://www.imdb.com/title/tt1663660/,"In Barrow, Alaska, teenagers Qalli and Aivaaq find their bond tested when a seal-hunting trip goes wrong, resulting in the death of their friend.",96,,"$17,901,","$73,492",On the Ice Productions,R,0,67,62,"Feb 17, 2012",,"Aug 10, 2016","['drama', 'mysteryandthriller']","['Frank Qutuq Irelan', 'Rosabelle Kunnanna Rexford', 'Nick Quested', 'Allison Warden', 'Doug Dey', 'Nick Morton', 'Gregory Smith', 'John Miller', 'Sierra Jade Sampson', 'Cary Fukunaga', 'Rick Rosenthal', 'Teddy Kyle Smith', 'Andrew Okpeaha MacLean', 'Adamina Kerr', 'IZLER', 'Josiah Patkotak', 'Susanne Adamski']",['Andrew Okpeaha MacLean'],https://www.rottentomatoes.com/m/on_the_ice,0
OUTSIDE IN,2017,https://www.imdb.com/title/tt7260048/,An ex-con struggling to readjust to life in his small town forms an intense bond with his former high school teacher.,109,,,,,Not Rated,0,95,76,"Mar 30, 2018",,"Apr 3, 2018",['drama'],"['Edie Falco', 'Ben Schwartz', 'Mel Eslyn', 'Mark Duplass', 'Lacey Leavitt', 'Kaitlyn Dever', 'Lynn Shelton', 'Nathan M. Miller', 'Celia Beasley', 'Jay Duplass']",['Lynn Shelton'],https://www.rottentomatoes.com/m/outside_in_2018,0
