title,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award,is_holiday,success
WHITE MISCHIEF,"In 1940s Kenya, a married couple join other affluent British expatriates in a lifestyle of recklessness and excess, but soon find themselves in a troubling situation.",1987,107,12074808,7079827,Columbia Pictures,R,1988-05-06,['Michael Radford'],"['Sarah Miles', 'Joss Ackland', 'Greta Scacchi', 'Charles Dance']","['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",0,False,False
THE HOUSE OF THE SPIRITS,"A rancher, his clairvoyant wife and their family face turbulent years in South America in this adaptation of Isabel Allende's best-seller.",1993,140,71643183,11221670,Constantin Film,R,1994-04-01,['Bille August'],"['Jeremy Irons', 'Meryl Streep', 'Maria Conchita Alonso', 'António Assunção']","['Drama', 'Romance']",1,False,False
THE BRADY BUNCH MOVIE,"The original 70s TV family is now placed in the 1990s, where they're even more square and out of place than ever.",1995,90,20378818,79097220,Paramount Pictures,PG-13,1995-02-17,['Betty Thomas'],"['Shelley Long', 'Gary Cole', 'Christine Taylor', 'Christopher Daniel Barnes']",['Comedy'],0,False,True
BIG BULLY,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",1996,90,24742925,3369211,Morgan Creek Entertainment,PG,1996-01-26,['Steve Miner'],"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips', 'Carol Kane']","['Comedy', 'Thriller']",0,False,False
THE BEACH,"On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise.",2000,119,75148373,216512795,Figment Films,R,2000-02-11,['Danny Boyle'],"['Leonardo DiCaprio', 'Daniel York', 'Patcharawan Patarakijjanon', 'Virginie Ledoyen']","['Adventure', 'Drama', 'Romance', 'Thriller']",0,False,True
DOWN TO YOU,A young man wins and loses the first serious love of his life. Al Connelly falls in love with the girl of his dreams. After the summer she breaks up with him. As he tries to recover Al goes to desperate measures.,2000,91,16532642,36702336,Open City Films,PG-13,2000-01-21,['Kris Isacsson'],"['Freddie Prinze Jr.', 'Julia Stiles', 'Selma Blair', 'Shawn Hatosy']","['Comedy', 'Drama', 'Romance']",0,False,True
LUCKY NUMBERS,A television weatherman scams a local lottery.,2000,105,94686951,16367649,Paramount Pictures,R,2000-10-27,['Nora Ephron'],"['John Travolta', 'Lisa Kudrow', 'Tim Roth', ""Ed O'Neill""]","['Comedy', 'Crime']",0,False,False
DUDE WHERES MY CAR,Two potheads wake up after a night of partying and cannot remember where they parked their car.,2000,83,19538577,109988246,Twentieth Century Fox,PG-13,2000-12-15,['Danny Leiner'],"['Ashton Kutcher', 'Seann William Scott', 'Jennifer Garner', 'Marla Sokoloff']","['Comedy', 'Mystery', 'Sci-Fi']",0,False,True
JOHN Q,John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.,2002,116,51790972,147093224,New Line Cinema,PG-13,2002-02-15,['Nick Cassavetes'],"['Denzel Washington', 'Robert Duvall', 'Gabriela Oltean', 'Kimberly Elise']","['Crime', 'Drama', 'Thriller']",2,False,True
THE MASTER OF DISGUISE,An Italian waiter fights off a criminal mastermind with his inherited powers of disguise.,2002,80,23018210,62452721,Revolution Studios,PG,2002-08-02,['Perry Andelin Blake'],"['Dana Carvey', 'Jennifer Esposito', 'Harold Gould', 'James Brolin']","['Adventure', 'Comedy', 'Family', 'Fantasy']",0,False,True
