title,audience_score,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award
WHITE MISCHIEF,63,"In 1940s Kenya, a married couple join other affluent British expatriates in a lifestyle of recklessness and excess, but soon find themselves in a troubling situation.",1987,107,12074808,7079827,Columbia Pictures,R,5/6/1988,['Michael Radford'],"['Sarah Miles', 'Joss Ackland', 'Greta Scacchi', 'Charles Dance']","['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",0
THE HOUSE OF THE SPIRITS,69,"A rancher, his clairvoyant wife and their family face turbulent years in South America in this adaptation of Isabel Allende's best-seller.",1993,140,71643183,11221670,Constantin Film,R,4/1/1994,['Bille August'],"['Jeremy Irons', 'Meryl Streep', 'Maria Conchita Alonso', 'António Assunção']","['Drama', 'Romance']",1
THE BRADY BUNCH MOVIE,61,"The original 70s TV family is now placed in the 1990s, where they're even more square and out of place than ever.",1995,90,20378818,79097220,Paramount Pictures,PG-13,2/17/1995,['Betty Thomas'],"['Shelley Long', 'Gary Cole', 'Christine Taylor', 'Christopher Daniel Barnes']",['Comedy'],0
BIG BULLY,47,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",1996,90,24742925,3369211,Morgan Creek Entertainment,PG,1/26/1996,['Steve Miner'],"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips', 'Carol Kane']","['Comedy', 'Thriller']",0
THE BEACH,67,"On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise.",2000,119,75148373,216512795,Figment Films,R,2/11/2000,['Danny Boyle'],"['Leonardo DiCaprio', 'Daniel York', 'Patcharawan Patarakijjanon', 'Virginie Ledoyen']","['Adventure', 'Drama', 'Romance', 'Thriller']",0
DOWN TO YOU,50,A young man wins and loses the first serious love of his life. Al Connelly falls in love with the girl of his dreams. After the summer she breaks up with him. As he tries to recover Al goes to desperate measures.,2000,91,16532642,36702336,Open City Films,PG-13,1/21/2000,['Kris Isacsson'],"['Freddie Prinze Jr.', 'Julia Stiles', 'Selma Blair', 'Shawn Hatosy']","['Comedy', 'Drama', 'Romance']",0
LUCKY NUMBERS,50,A television weatherman scams a local lottery.,2000,105,94686951,16367649,Paramount Pictures,R,10/27/2000,['Nora Ephron'],"['John Travolta', 'Lisa Kudrow', 'Tim Roth', ""Ed O'Neill""]","['Comedy', 'Crime']",0
DUDE WHERES MY CAR,55,Two potheads wake up after a night of partying and cannot remember where they parked their car.,2000,83,19538577,109988246,Twentieth Century Fox,PG-13,12/15/2000,['Danny Leiner'],"['Ashton Kutcher', 'Seann William Scott', 'Jennifer Garner', 'Marla Sokoloff']","['Comedy', 'Mystery', 'Sci-Fi']",0
JOHN Q,71,John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.,2002,116,51790972,147093224,New Line Cinema,PG-13,2/15/2002,['Nick Cassavetes'],"['Denzel Washington', 'Robert Duvall', 'Gabriela Oltean', 'Kimberly Elise']","['Crime', 'Drama', 'Thriller']",2
THE MASTER OF DISGUISE,33,An Italian waiter fights off a criminal mastermind with his inherited powers of disguise.,2002,80,23018210,62452721,Revolution Studios,PG,8/2/2002,['Perry Andelin Blake'],"['Dana Carvey', 'Jennifer Esposito', 'Harold Gould', 'James Brolin']","['Adventure', 'Comedy', 'Family', 'Fantasy']",0
BRINGING DOWN THE HOUSE,56,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life.",2003,105,46417190,231705722,Touchstone Pictures,PG-13,3/7/2003,['Adam Shankman'],"['Steve Martin', 'Queen Latifah', 'Eugene Levy', 'Joan Plowright']",['Comedy'],0
EULOGY,65,"A black comedy that follows three generations of a family, who come together for the funeral of the patriarch - unveiling a litany of family secrets and covert relationships.",2004,91,8905619,123008,Eulogy Productions LLC,R,9/26/2004,['Michael Clancy'],"['Ray Romano', 'Jesse Bradford', 'Hank Azaria', 'Rip Torn']","['Comedy', 'Drama']",0
OLDBOY,84,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2003,120,4219744,21101699,Show East,R,11/21/2003,['Chan-wook Park'],"['Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']","['Action', 'Drama', 'Mystery', 'Thriller']",0
REBOUND,52,An acclaimed college basketball coach is demoted to a junior varsity team after a public meltdown.,2005,86,43864025,23180366,Twentieth Century Fox,PG,7/1/2005,['Steve Carr'],"['Martin Lawrence', 'Megan Mullally', 'Breckin Meyer', 'Wendy Raquel Robinson']","['Comedy', 'Family', 'Sport']",0
ZOOM,44,Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.,2006,83,44932465,16055476,Revolution Studios,PG,8/11/2006,['Peter Hewitt'],"['Tim Allen', 'Courteney Cox', 'Chevy Chase', 'Spencer Breslin']","['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0
CRY WOLF,58,"Eight unsuspecting high school seniors at a posh boarding school, who delight themselves on playing games of lies, come face-to-face with terror and learn that nobody believes a liar - even when they're telling the truth.",2005,90,1325197,43183414,Rogue Pictures,PG-13,9/16/2005,['Jeff Wadlow'],"['Julian Morris', 'Lindy Booth', 'Jared Padalecki', 'Erica Yates']","['Drama', 'Horror', 'Mystery', 'Thriller']",0
THE METHOD,72,7 Spanish top corporate job candidates are left in a room and informed on computer screens about their tasks and that one of them is an observer. Let the psyching begin.,2005,115,3975591,4599296,Tornasol Films,,9/23/2005,['Marcelo Piñeyro'],"['Eduardo Noriega', 'Najwa Nimri', 'Eduard Fernández', 'Pablo Echarri']","['Drama', 'Thriller']",0
SHUTTER,52,"A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved.",2008,85,9616624,58367265,New Regency Productions,PG-13,3/21/2008,['Masayuki Ochiai'],"['Joshua Jackson', 'Rachael Taylor', 'James Kyson', 'Megumi Okina']","['Horror', 'Mystery', 'Thriller']",0
THE TEN,50,"Ten stories, each inspired by one of the ten commandments.",2007,96,6553220,980521,City Lights Pictures,R,4/25/2008,['David Wain'],"['Paul Rudd', 'Jessica Alba', 'Winona Ryder', 'Adam Brody']","['Comedy', 'Romance']",0
BLINDSIGHT,72,"Six blind Tibetan teenagers climb the Lhakpa-Ri peak of Mount Everest, led by seven-summit blind mountain-climber Erik Weihenmayer.",2006,104,134797,470182,Robson Entertainment,PG,8/8/2008,['Lucy Walker'],"['Gavin Attwood', 'Sally Berg', 'Sonam Bhumtso', 'Dachung']","['Documentary', 'Adventure']",0
ALL ABOUT MY BUSH,34,A sexually frustrated couple moves to a beautiful suburb where they discover that lust sprouts in the local gardens as well as flowers.,2007,97,22468183,339642,Film i Väst,,1/26/2007,['Martina Bigert'],"['Ola Rapace', 'Maria Kulle', 'David Dencik', 'Karin Lithman']",['Comedy'],0
GHOST TOWN,67,"Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",2008,102,24041560,32564484,DreamWorks,PG-13,9/19/2008,['David Koepp'],"['Ricky Gervais', 'Greg Kinnear', 'Téa Leoni', 'Jordan Carlos']","['Comedy', 'Drama', 'Fantasy', 'Romance']",0
THE GODDESS OF FORTUNE,62,"When Annamaria, a longtime friend of Alessandro and Arturo, ask the couple to take care of her children, the relationship between the two men reaches a point of no return.",2019,114,4049347,9900875,R&C Produzioni,,12/19/2019,['Ferzan Ozpetek'],"['Stefano Accorsi', 'Jasmine Trinca', 'Edoardo Leo', 'Serra Yilmaz']",['Drama'],0
AGATHE CLRY,46,The ultimate nightmare for a racist? Becoming as black as the people she abhors. This is exactly what happens to Agathe Cléry: she's struck down with a rare disorder of the adrenal cortex glands that causes the skin to darken inexorably...,2008,113,25243638,12051925,Produire à Paris,Unrated,12/3/2008,['Étienne Chatiliez'],"['Valérie Lemercier', 'Anthony Kavanagh', 'Dominique Lavanant', 'Isabelle Nanty']","['Comedy', 'Musical']",0
BALLAST,70,"A drama set in the Mississippi delta, where one man's suicide affects three people's lives.",2008,96,841454,98406,Alluvial Film Company,Unrated,1/19/2008,['Lance Hammer'],"['Micheal J. Smith Sr.', 'JimMyron Ross', 'Tarra Riggs', 'Johnny McPhail']",['Drama'],0
