,title,user_rate,meta_score,certificate,run_time,genre,description
0,,,,,,,
1,Love and Monsters,7,63        ,PG-13,109 min,"Action, Adventure, Comedy","Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex."
2,Promising Young Woman,7.5,73        ,R,113 min,"Crime, Drama, Thriller","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path."
3,Line of Duty,8.7,,TV-14,60 min,"Crime, Drama, Mystery","Drama series following the investigations of AC-12, a controversial police anti-corruption unit."
4,Peaky Blinders,8.8,,TV-MA,60 min,"Crime, Drama","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
5,The Courier,7.1,64        ,PG-13,112 min,Thriller,Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.
6,Nomadland,7.5,94        ,R,107 min,Drama,"A woman in her sixties who, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad."
7,The Father,8.3,88        ,PG-13,97 min,Drama,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
8,Sound of Metal,7.8,82        ,R,120 min,"Drama, Music",A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
9,Synchronic,6.2,64        ,R,102 min,"Drama, Sci-Fi, Thriller","Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects."
10,Big Sky,6.7,,TV-14,60 min,"Crime, Drama, Mystery",A private detective teams up with an ex-cop to solve a kidnapping case in Montana.
11,The Handmaid's Tale,8.4,,TV-MA,60 min,"Drama, Sci-Fi, Thriller","Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
12,For All Mankind,7.8,,TV-MA,60 min,"Drama, Sci-Fi","In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals."
13,Outlander,8.4,,TV-MA,64 min,"Drama, Fantasy, Romance",An English combat nurse from 1945 is mysteriously swept back in time to 1743.
14,The Boys,8.7,,TV-MA,60 min,"Action, Comedy, Crime",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
15,Money Heist,8.3,,TV-MA,70 min,"Action, Crime, Mystery",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
16,Minari,7.6,89        ,PG-13,115 min,Drama,A Korean family starts a farm in 1980s Arkansas.
17,The Trial of the Chicago 7,7.8,76        ,R,129 min,"Drama, History, Thriller","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
18,American Horror Story,8,,TV-MA,60 min,"Drama, Horror, Thriller","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp."
19,Riders of Justice,7.7,,Not Rated,116 min,"Action, Comedy, Drama","Markus, who has to go home to his teenage daughter, Mathilde, when his wife dies in a tragic train accident. It seems like an accident until a mathematics geek, who was also a fellow passenger on the train, and his two colleagues show up."
20,Bridgerton,7.2,,TV-MA,60 min,"Drama, Romance","Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family."
21,Yellowstone,8.6,,TV-MA,60 min,"Drama, Western",A ranching family in Montana faces off against others encroaching on their land.
22,Mank,6.9,79        ,R,131 min,"Biography, Comedy, Drama",
23,Avengers: Endgame,8.4,78        ,PG-13,181 min,"Action, Adventure, Drama",
24,Monday,6.1,58        ,R,116 min,"Drama, Romance","A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?"
25,Black Mirror,8.8,,TV-MA,60 min,"Drama, Sci-Fi, Thriller","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
26,Tenet,7.4,69        ,PG-13,150 min,"Action, Sci-Fi, Thriller","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
27,Ozark,8.4,,TV-MA,60 min,"Crime, Drama, Thriller","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
28,The Witcher,8.2,,TV-MA,60 min,"Action, Adventure, Fantasy","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
