link,budget,opening_weekend_gross,box_office_gross,studio,mpaa_rating
https://www.imdb.com/title/tt8332922/?ref_=adv_li_tt,,,,Buffalo FilmWorks,PG-13
https://www.imdb.com/title/tt11032374,,"$21,144,800","$432,918,496",Aniplex,R
https://www.imdb.com/title/tt6723592,"$205,000,000","$9,353,090","$363,656,624",Warner Bros.,PG-13
https://www.imdb.com/title/tt1821658/,"$42,000,000","$19,423,000","$120,885,527",Endgame Entertainment,PG
https://www.imdb.com/title/tt7456534/,,,,Drive Films,Not Rated
https://www.imdb.com/title/tt1411250/,"$38,000,000","$19,030,375","$98,337,295",Riddick Canada Productions,R
https://www.imdb.com/title/tt4429160/,,,"$9,932,398",Locus,PG
https://www.imdb.com/title/tt2299842/,"€103,000","$6,222","$6,616,296",Good Film,Not Rated
https://www.imdb.com/title/tt6938828/,,"$92,856","$11,235,662",CBS Films,PG-13
https://www.imdb.com/title/tt2381111/,"$11,000,000","$187,281","$62,076,141",Wildgaze Films,PG-13
https://www.imdb.com/title/tt1477837/,"$10,000,000","$302,968","$7,728,936",Ad Hominem Enterprises,R
https://www.imdb.com/title/tt2515034/,"$40,000,000","$5,028,702","$24,177,137",Open Road Films (II),R
https://www.imdb.com/title/tt5519340/,"$90,000,000",,,Clubhouse Pictures (II),TV-MA
https://www.imdb.com/title/tt1829012/,"$20,000,000","$33,400","$713,616",SBS Productions,R
https://www.imdb.com/title/tt1446192/,"$145,000,000","$23,773,465","$306,941,670",DreamWorks Animation,PG
https://www.imdb.com/title/tt8884430/,,"$117,651","$3,355,324",Mirror Films,PG-13
https://www.imdb.com/title/tt1563738/,"$15,000,000","$5,079,566","$59,389,433",Focus Features,PG-13
https://www.imdb.com/title/tt1410051/,,,"$4,498",Magnet Films,R
https://www.imdb.com/title/tt1418377/,"$65,000,000","$8,610,441","$76,801,179",Hopscotch Features,PG-13
https://www.imdb.com/title/tt4720702/,,,"$79,888",Bullet Pictures,TV-MA
https://www.imdb.com/title/tt8425034/,"$1,500,000",,,Provocator,TV-MA
https://www.imdb.com/title/tt6118340/,,,"$4,286","Conley Entertainment Group,",TV-MA
https://www.imdb.com/title/tt1438173/,"$30,000,000",,"$33,492,566",Bait Productions,R
https://www.imdb.com/title/tt1853739/,"$1,000,000","$7,020,196","$26,895,481",Snoot Entertainment,R
https://www.imdb.com/title/tt5080556/,"रू5,420,000,000","$2,775,000","$36,945,969",Dakshaa,Not Rated
https://www.imdb.com/title/tt1646971/,"$145,000,000","$49,451,322","$621,537,519",DreamWorks Animation,PG
https://www.imdb.com/title/tt5706370/,,,"$36,723",Brooklyn Films,R
https://www.imdb.com/title/tt1780798/,"$1,500,000","$26,920","$4,381,603",Cross Creek Pictures,R
https://www.imdb.com/title/tt2822864/,,,,1821 Pictures,PG-13
https://www.imdb.com/title/tt6170506/,,,"$52,976",WYSJ Media,R
https://www.imdb.com/title/tt3387266/,"$14,000,000","$66,510","$14,459,330",Fox Searchlight Pictures,PG-13
https://www.imdb.com/title/tt1724597/,,,"$1,126",Dutch Tilt Film,R
https://www.imdb.com/title/tt1314652/,,"$16,670","$15,038,301",Sidus FNH-Benex Cinema Fund 1,Not Rated
https://www.imdb.com/title/tt4540710/,"$13,000,000","$59,797","$9,101,546",EuropaCorp,R
https://www.imdb.com/title/tt1351685/,"$195,000,000","$27,202,226","$197,687,603",New Line Cinema,PG-13
https://www.imdb.com/title/tt1294226/,"$20,000,000","$16,007,426","$89,137,047",Touchstone Pictures,PG
https://www.imdb.com/title/tt3766354/,"$62,000,000","$36,011,640","$190,400,157",Columbia Pictures,R
https://www.imdb.com/title/tt2140373/,"$35,000,000","$413,373","$117,867,984",Walt Disney Pictures,PG-13
https://www.imdb.com/title/tt1629242/,"$8,000,000",,"$82,230",Troika Pictures,R
https://www.imdb.com/title/tt4126476/,"$14,000,000","$6,002,349","$69,756,455",CalMaple,PG-13
https://www.imdb.com/title/tt4483220/,,,,Petri Entertainment,R
https://www.imdb.com/title/tt1390535/,"$1,000,000",,"$28,491",Agora Entertainment,R
https://www.imdb.com/title/tt2239822/,"$177,200,000","$17,007,624","$225,973,340",EuropaCorp,PG-13
https://www.imdb.com/title/tt2349144/,"$6,000,000","$12,434","$422,746",Sycamore Pictures,R
https://www.imdb.com/title/tt1587310/,"$180,000,000","$69,431,298","$758,411,779",Jolie Pas,PG
https://www.imdb.com/title/tt1663202/,"$135,000,000","$474,560","$532,950,503",New Regency Productions,R
https://www.imdb.com/title/tt1704573/,"$5,000,000","$85,805","$10,173,061",Mandalay Vision,PG-13
https://www.imdb.com/title/tt3903852/,"$1,000,000","$1,650","$176,777",Oscar Gold Productions,R
https://www.imdb.com/title/tt3704352/,,,,HBO Films,TV-MA
https://www.imdb.com/title/tt1462769/,"$25,000,000","$10,822,903","$56,012,642",Monsterfoot Productions,PG
https://www.imdb.com/title/tt1754811/,,"$156,414","$228,004",SquareOne Entertainment,R
https://www.imdb.com/title/tt2173248/,,,"$220,388",Tectonic Films,TV-MA
https://www.imdb.com/title/tt8443704/,,,,Comic Communication Studio,TV-MA
https://www.imdb.com/title/tt9356952/,,"$26,630","$36,856",,R
https://www.imdb.com/title/tt1323594/,"$69,000,000","$56,397,125","$543,113,985",Universal Pictures,PG
https://www.imdb.com/title/tt0448694/,"$130,000,000","$34,077,439","$554,987,477",DreamWorks Animation,PG
https://www.imdb.com/title/tt6173484/,,,,Tilted Windmill Productions,Not Rated
https://www.imdb.com/title/tt8041276/,,,,Duplass Brothers Productions,TV-MA
https://www.imdb.com/title/tt6512428/,"$2,700,000","$1,503,101","$3,589,633",Provident Films,PG-13
https://www.imdb.com/title/tt4687358/,"$300,000",,,Thunder Warrior Productions,Not Rated
https://www.imdb.com/title/tt1316540/,,"$9,145","$162,088",TT Filmmûhely,Not Rated
https://www.imdb.com/title/tt1759744/,,"$20,684","$98,240",Epic Level Entertainment,R
https://www.imdb.com/title/tt2404461/,"$11,000,000","$29,270","$12,673,462",Memento Films Production,PG-13
https://www.imdb.com/title/tt5352846/,"$4,000,000",,,Look to the Sky Films,TV-MA
