title,critic_score,audience_score,release_year,runtime,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,link
Three Worlds,38,46,2012,1h 40m,,,"Feb 11, 2017",['drama'],"['Reda Kateb', 'Mathieu Menut', 'Jean-Pierre Malo', 'Benoît Graffin', 'Arta Dobroshi', 'Alban Aumard', 'Muriel Breton', 'Laurent Capelluto', 'Adèle Haenel', 'Raphaël Personnaz', 'Catherine Corsini', 'Brigitte Moidon', 'Fabienne Vonier', 'Claire Mathon', 'Clotilde Hesme', 'Grégoire Hetzel', 'Radivoje Bukvic']",['Catherine Corsini'],https://www.rottentomatoes.com/m/three_worlds
Cold Turkey,60,65,1971,1h 39m,,,"Jan 17, 2017",['comedy'],"['Norman Lear', 'Bob Elliott', 'Dick Van Dyke', 'Jean Stapleton', 'Pippa Scott', 'Edward Everett Horton', 'Vincent Gardenia', 'Graham Jarvis', 'Barnard Hughes', 'Ray Goulding', 'Tom Poston']",['Norman Lear'],https://www.rottentomatoes.com/m/cold_turkey
Museum Hours,95,60,2012,1h 47m,"Jun 28, 2013",,"Aug 10, 2016",['drama'],"['Guy Picciotto', 'Gabriele Kranzelbinder', 'Bobby Sommer', 'Jem Cohen', 'Ela Piplits', 'Patti Smith', 'Peter Röhsler', 'Paolo Calamita', ""Mary Margaret O'Hara""]",['Jem Cohen'],https://www.rottentomatoes.com/m/museum_hours
Amateur Night,0,25,2016,1h 33m,"Aug 5, 2016",,"Oct 6, 2016",['comedy'],"['Samuel Goldberg', 'Mary Pat Bentel', 'Joe Syracuse', 'Jason Biggs', 'Ashley Tisdale', 'Steven Weber', 'Jorge Garcia Castro', 'Jackie Levine', 'Adrian Voo', 'Lisa Addario', 'Shana Eddy-Grouf', 'Janet Montgomery', 'Cedric Yarbrough', 'Jenny Mollen', 'Diego Del Río Toca', 'Bria Murphy']","['Joe Syracuse', 'Lisa Addario']",https://www.rottentomatoes.com/m/amateur_night_2016
J. Edgar,43,44,2011,2h 17m,"Nov 11, 2011",,"Feb 2, 2014","['history', 'drama', 'biography']","['Gary D. Roach', 'Robert Lorenz', 'Joel Cox', 'Ken Howard', 'Tim Moore', 'Brian Grazer', 'Erica Huggins', 'Tom Stern', 'Naomi Watts', 'Leonardo DiCaprio', 'Armie Hammer', 'Dustin Lance Black', 'Jeffrey Donovan', 'Josh Lucas', 'David A. Cooper', 'Judi Dench', 'Clint Eastwood', 'Gunner Wright', 'Dermot Mulroney']",['Clint Eastwood'],https://www.rottentomatoes.com/m/j_edgar
Boyhood,97,80,2014,2h 45m,"Jul 18, 2014",,"Jan 7, 2016",['drama'],"['Sandra Adair', 'Lorelei Linklater', 'Evie Thompson', 'Shane Kelly', 'John Sloss', 'Cathleen Sutherland', 'Jonathan Sehring', 'Patricia Arquette', 'Tamara Jolaine', 'Rodney Becker', 'Ethan Hawke', 'Jordan Howard', 'Ellar Coltrane', 'Lee Daniel', 'Nick Krause', 'Richard Linklater']",['Richard Linklater'],https://www.rottentomatoes.com/m/boyhood
The Warrior's Way,31,47,2010,1h 40m,"Dec 3, 2010",,"Jun 23, 2011","['action', 'western', 'fantasy', 'sportsandfitness']","['Analin Rudd', 'Kate Bosworth', 'Nansun Shi', 'Geoffrey Rush', 'Michael Peyser', 'Ti Lung', 'Jang Dong-gun', 'Markus Hamilton', 'Danny Huston', 'Eui Hong', 'Seung Jae Tcha', 'Tony Cox', 'Satoru Iseki', 'Barrie M. Osborne', 'Sngmoo Lee', 'Tim White', 'Jooick Lee']",['Sngmoo Lee'],https://www.rottentomatoes.com/m/the-warriors-way
Unbroken: Path to Redemption,38,76,2018,1h 38m,"Sep 14, 2018",,"Nov 27, 2018","['history', 'drama', 'biography']","['Bill Reeves', 'David Sakurai', 'Mike Elliott', 'Cynthia Garris', 'Luke Zamperini', 'Gianna Simone', 'Andrew Caldwell', 'Ali Eagle', 'Merritt Patterson', 'Michael Scott', 'Samuel Hunt', 'Richard Friedenberg', 'Harold Cronk', 'Will Graham', 'Ken Hixon', 'Maddalena Ischiale', 'Erik Weir', 'Bobby Campo', 'Vincenzo Amato', 'Matthew Baer']",['Harold Cronk'],https://www.rottentomatoes.com/m/unbroken_path_to_redemption
Where's Daddy?,100,100,2018,,,,,[],"['Unknown Actor', 'Rel Dowdell']",['Rel Dowdell'],https://www.rottentomatoes.com/m/wheres_daddy
The Sharks,82,,2019,,,,,[],"['Valeria Lois', 'Romina Bentancur', 'Federico Morosini', 'Fabián Arenillas', 'Lucía Garibaldi']",['Lucía Garibaldi'],https://www.rottentomatoes.com/m/the_sharks
Brad Paisley's Comedy Rodeo,60,,2017,,,,,[],[],[],https://www.rottentomatoes.com/m/brad_paisleys_comedy_rodeo
The Last Photograph,67,57,2017,1h 25m,,,"Sep 6, 2019",['drama'],"['Sarita Choudhury', 'Danny Huston']",['Danny Huston'],https://www.rottentomatoes.com/m/the_last_photograph_2017
Plagues of Breslau,86,51,2018,1h 33m,,,"Apr 22, 2020","['crime', 'drama', 'mysteryandthriller']","['Aniko Kiss', 'Jacek Beler', 'Miroslaw Brozek', 'Tomasz Widarski', 'Lukasz Targosz', 'Patryk Vega', 'Maksymilian Michasiów', 'Malgorzata Kozuchowska', 'Igor Kujawski', 'Daria Widawska', 'Katarzyna Bujakiewicz', 'Ewa Kasprzyk', 'Malgorzata Bednarek']",['Patryk Vega'],https://www.rottentomatoes.com/m/the_plagues_of_breslau
Plot for Peace,76,82,2013,1h 24m,,,"Oct 4, 2016","['history', 'mysteryandthriller', 'documentary', 'drama']","['Antony Partos', 'Mandy Jacobson', 'Carlos Agulló', 'Rita Noriega', 'Diego Ollivier', 'Winnie Mandela', 'Stephen Smith', 'Pik Botha']","['Mandy Jacobson', 'Carlos Agulló']",https://www.rottentomatoes.com/m/plot_for_peace
Used People,44,37,1992,1h 55m,,,"Dec 7, 2016",['drama'],"['Shirley MacLaine', 'Beeban Kidron', 'Jessica Tandy', 'Charles Cioffi', 'Sylvia Sidney', 'Marcia Gay Harden', 'Peggy Rajski', 'Kathy Bates', 'John Tintori', 'Bob Dishy', 'David Watkin', 'Joe Pantoliano', 'Todd Graff', 'Rachel Portman', 'Marcello Mastroianni', 'Michael Barnathan', 'Mathew Branton']",['Beeban Kidron'],https://www.rottentomatoes.com/m/used_people
Friendsgiving,19,24,2020,1h 35m,"Oct 23, 2020",,"Oct 23, 2020","['comedy', 'other']","['Paris Kassidokostas-Latsis', 'Neil Shapiro', 'Jack Donnelly', 'Haroon Saleem', 'Wanda Sykes', 'Nicholas Weinstock', 'Terry Dougas', 'Ryan Hansen', 'Ben Stiller', 'Christine Taylor', 'Deon Cole', 'Tara L. Craig', 'Kat Dennings', 'Chelsea Peretti', 'Aisha Tyler', 'Malin Akerman', 'Nicol Paone', 'Jane Seymour']",['Nicol Paone'],https://www.rottentomatoes.com/m/friendsgiving
Cold Turkey,60,65,1971,1h 39m,,,"Jan 17, 2017",['comedy'],"['Tom Poston', 'Jean Stapleton', 'Graham Jarvis', 'Edward Everett Horton', 'Pippa Scott', 'Dick Van Dyke', 'Norman Lear', 'Bob Elliott', 'Vincent Gardenia', 'Barnard Hughes', 'Ray Goulding']",['Norman Lear'],https://www.rottentomatoes.com/m/cold_turkey
Boyhood,97,80,2014,2h 45m,"Jul 18, 2014",,"Jan 7, 2016",['drama'],"['Ethan Hawke', 'Sandra Adair', 'Cathleen Sutherland', 'Ellar Coltrane', 'Jonathan Sehring', 'Lee Daniel', 'Shane Kelly', 'Rodney Becker', 'Nick Krause', 'Jordan Howard', 'Patricia Arquette', 'Richard Linklater', 'Tamara Jolaine', 'John Sloss', 'Evie Thompson', 'Lorelei Linklater']",['Richard Linklater'],https://www.rottentomatoes.com/m/boyhood
All Good Things,35,37,2010,1h 41m,"Dec 17, 2010",,"Dec 5, 2016",['mysteryandthriller'],"['Ryan Gosling', 'Kristen Wiig', 'Kirsten Dunst', 'Philip Baker Hall', 'Marcus Hinchey', 'Nick Offerman', 'Michelle Krumm', 'Michael London', 'Bruna Papandrea', 'Bob Weinstein', 'Harvey Weinstein', 'Marc Smerling', 'Michael Esper', 'Lily Rabe', 'Andrew Jarecki', 'Frank Langella']",['Andrew Jarecki'],https://www.rottentomatoes.com/m/all_good_things
London: The Modern Babylon,89,82,2012,2h 5m,,,"Feb 15, 2017",['documentary'],"['George Hencken', 'Amanda Temple', 'Steve Organ', 'Caroline Richards', 'Rosa Bosch', 'Stephen Malit', 'Julien Temple']",['Julien Temple'],https://www.rottentomatoes.com/m/london_the_modern_babylon
Videocracy,67,39,2009,1h 25m,,,"Jan 25, 2017",['documentary'],"['Manuel Alberto Claro', 'Kristina Aberg', 'David Österberg', 'Mikael Olsen', 'Krister Linder', 'Erik Gandini', 'Johan Söderberg', 'Axel Arnö']",['Erik Gandini'],https://www.rottentomatoes.com/m/videocracy
Our Blood Is Wine,83,,2018,1h 18m,"Mar 9, 2018",,"Mar 22, 2018",['documentary'],"['Giorgi Natenadze', 'Bruce Sheridan', 'Luarsab Togonidze', 'William Schopf', 'Anna Lindholm', 'Jeremy Quinn', 'Ramaz Nikoladze', 'Gabriel Dib', 'Ed Arentz', 'Mariam Iosebidze', 'Emily Railsback']",['Emily Railsback'],https://www.rottentomatoes.com/m/our_blood_is_wine
Therese,41,34,2013,1h 42m,"Feb 21, 2014",,"Apr 14, 2016","['drama', 'mysteryandthriller']","['Jennifer Monroe', 'Matt Lucas', 'Jessica Lange', 'Tom Felton', 'William Horberg', 'Uli Hanisch', 'Shirley Henderson', 'John Kavanagh', 'Charlie Stratton', 'Mackenzie Crook', 'Oscar Isaac', 'Mickey Liddell', 'Florian Hoffmeister', 'Pete Shilaimon', 'Elizabeth Olsen', 'Richard Sharkey']",['Charlie Stratton'],https://www.rottentomatoes.com/m/in_secret
Three Worlds,38,46,2012,1h 40m,,,"Feb 11, 2017",['drama'],"['Muriel Breton', 'Raphaël Personnaz', 'Arta Dobroshi', 'Radivoje Bukvic', 'Brigitte Moidon', 'Benoît Graffin', 'Clotilde Hesme', 'Grégoire Hetzel', 'Catherine Corsini', 'Adèle Haenel', 'Claire Mathon', 'Alban Aumard', 'Reda Kateb', 'Laurent Capelluto', 'Fabienne Vonier', 'Mathieu Menut', 'Jean-Pierre Malo']",['Catherine Corsini'],https://www.rottentomatoes.com/m/three_worlds
Ask No Questions,100,86,2020,1h 19m,,,"Jun 28, 2020",['documentary'],"['Caylan Ford', 'Jason Loftus', 'Eric Pedicelli', 'Elijah Marchand']","['Jason Loftus', 'Eric Pedicelli']",https://www.rottentomatoes.com/m/ask_no_questions
God Loves Uganda,100,77,2013,1h 30m,"Oct 11, 2013",,"Mar 11, 2017","['gayandlesbian', 'documentary']","['Roger Ross Williams', 'Benjamin Gray', 'Scott Lively', 'Jake Clennell', 'Derek Wiesehahn', 'Mette Hoffman', 'Richard Hankin', 'Julie Goldman']",['Roger Ross Williams'],https://www.rottentomatoes.com/m/god_loves_uganda_2013
The Mystery of the Pink Flamingo,100,,2020,1h 26m,,,"Dec 1, 2020",['documentary'],"['Guillermo Polo', 'John Waters', 'Gerard Rodriguez', 'Javier Polo Gandía', 'Rigo Pex', 'Allee Willis', 'Eduardo Casanova', 'Merli Feixa']",['Javier Polo Gandía'],https://www.rottentomatoes.com/m/the_mystery_of_the_pink_flamingo
Amateur Night,0,25,2016,1h 33m,"Aug 5, 2016",,"Oct 6, 2016",['comedy'],"['Ashley Tisdale', 'Bria Murphy', 'Joe Syracuse', 'Janet Montgomery', 'Jenny Mollen', 'Shana Eddy-Grouf', 'Jason Biggs', 'Jackie Levine', 'Adrian Voo', 'Cedric Yarbrough', 'Jorge Garcia Castro', 'Lisa Addario', 'Mary Pat Bentel', 'Samuel Goldberg', 'Steven Weber', 'Diego Del Río Toca']","['Joe Syracuse', 'Lisa Addario']",https://www.rottentomatoes.com/m/amateur_night_2016
