,_c0,title,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genres,casts,directors,link
0,0,SeahorseTheDadWhoGaveBirth,100,,1h 31m,,,,,"Jun 16, 2020",['documentary'],"{'Andrea Cornwell', 'Tara Creme', 'Jeanie Finlay', 'Patrick Vernon', 'Alice Powell', 'Orlando von Einsiedel'}",{'Jeanie Finlay'},https://www.rottentomatoes.com/m/seahorse_the_dad_who_gave_birth_2019
1,1,TwointheBushALoveStory,100,80,1h 37m,,,,,"Dec 12, 2019","['gayandlesbian', 'drama', 'comedy']","{'Travis Delgado', 'Angela Morris', 'Kelly Owens', 'Sarah Mitchell', 'Caitlin Aase', 'Kieran Dotti', 'Robert Stockwell', 'Melissa DuPrey', 'Mike Schminke', 'Brittany Wagner', 'Anna Roberts', 'Shaun Baer', 'Laura Madalinski', 'Brian Volk-Weiss', 'Kelly Haas', 'Adriana Leonard'}",{'Laura Madalinski'},https://www.rottentomatoes.com/m/2_in_the_bush_a_love_story_2019
2,2,Gundala,83,74,2h 3m,,,,,"Jul 28, 2020","['adventure', 'action', 'scifi']","{'Dinda Amanda', 'Joko Anwar', 'Abimana Aryasatya', 'Lukman Sardi', 'Bismarka Kurniawan', 'Robert Ronny', 'Arswendi Nasution', 'Bembi Gusti', 'Sukhdev Singh', 'Bront Palarae', 'Ical Tanjung', 'Wicky V. Olindo', 'Tara Basro', 'Erick Thohir', 'Ario Bayu'}",{'Joko Anwar'},https://www.rottentomatoes.com/m/gundala
3,3,SometimesAlwaysNever,82,69,1h 31m,,,"Mar 6, 2020",,"Jul 9, 2020","['drama', 'comedy']","{'Roy Boulter', 'Alice Lowe', 'Carl Hunter', 'Oliver Sindcup', 'John Westley', 'Charlie Dombek', 'Matthew Helderman', 'Jenny Agutter', 'Andrea Gibson', 'Tim McInnerny', 'Ella-Grace Gregoire', 'Bill Nighy', 'Frank Cottrell Boyce', 'Alan Latham', 'Sam Riley', 'Alastair Burlingham', 'Sol Papadopoulos', 'Kirsty Bell', 'Louis Healy'}",{'Carl Hunter'},https://www.rottentomatoes.com/m/sometimes_always_never
4,4,IntheTallGrass,36,33,1h 30m,,,,,"Oct 18, 2019","['horror', 'drama']","{'Harrison Gilbertson', 'Tiffany Helm', 'Steven Hoban', 'Laysla De Oliveira', 'Rachel Wilson', 'Gloria Fan', 'Patrick Wilson', 'Will Buie Jr.', 'Vincenzo Natali', 'Avery Whitted'}",{'Vincenzo Natali'},https://www.rottentomatoes.com/m/in_the_tall_grass_2019
5,5,NeverRarelySometimesAlways,99,48,1h 41m,,,"Mar 13, 2020",,"Apr 3, 2020",['drama'],"{'Adele Romanski', 'Ryan Eggold', 'Rose Garnett', 'Sharon Van Etten', 'Lester Greene', 'Sara Murphy', 'Elika Portnoy', 'Eliza Hittman', 'Lia Buman', 'Kim Rios Lin', 'Tim Headington', 'Sidney Flanigan', 'Drew Seltzer', 'Mark Ceryak', 'Alex Orlovsky', 'Théodore Pellerin', 'Talia Ryder'}",{'Eliza Hittman'},https://www.rottentomatoes.com/m/never_rarely_sometimes_always
6,6,BlumhousesFantasyIsland,7,48,1h 49m,,,"Feb 14, 2020",,"Apr 14, 2020","['horror', 'mysteryandthriller']","{'Maggie Q', 'Jeanette Volturno', 'Jason Blum', 'Charlotte McKinney', 'Portia Doubleday', 'Ryan Hansen', 'Marc Toberoff', 'Lucy Hale', 'Jimmy O. Yang', 'Austin Stowell', 'Chris Roach', 'Couper Samuelson', 'Toby Oliver', 'Michael Rooker', 'Michael Peña', 'Jillian Jacobs', 'Parisa Fitz-Henley', 'Jeff Wadlow'}",{'Jeff Wadlow'},https://www.rottentomatoes.com/m/fantasy_island_2020
7,7,KokodiKokoda,80,57,1h 26m,,,"Nov 6, 2020",,"Dec 8, 2020","['horror', 'comedy']","{'Olof Cornéer', 'Ylva Gallon', 'Katarina Jakobson', 'Johannes Nyholm', 'Peter Hyldahl', 'Johan Lundborg', 'Leif Edlund', 'Tobias Hoiem-Flyckt', 'Peter Belli', 'Morad Baloo Khatchadorian', 'Simon Ohlsson'}",{'Johannes Nyholm'},https://www.rottentomatoes.com/m/koko_di_koko_da
8,8,ThemThatFollow,59,45,1h 38m,,,"Aug 2, 2019",,"Sep 7, 2019","['mysteryandthriller', 'drama']","{'Olivia Colman', 'Jim Gaffigan', 'Brittany Poulton', 'Alice Englert', 'Brooks Roseberry', 'Bradley Gallo', 'William Gallo II', 'Alan Siegel', 'Lewis Pullman', 'Danielle Robinson', 'Thomas Mann', 'Kaitlyn Dever', 'Katherine DeBoer', 'Daniel Savage', 'Michael A. Helfant', 'Gerard Butler', 'Walton Goggins'}","{'Brittany Poulton,                                                   Daniel Savage'}",https://www.rottentomatoes.com/m/them_that_follow
9,9,AfterMidnight,89,49,1h 23m,,,"Feb 14, 2020",,"Jan 7, 2020",['horror'],"{'Brea Grant', 'Henry Zebrowski', 'Jeremy Gardner', 'Ashley Song', 'Justin Benson', 'Nicola Masciotra', 'Keith Arbuthnot', 'Christian Stella', 'Arvind Harinath', 'Aaron Moorhead', 'Venu Kunnappilly'}",{'Christian Stella'},https://www.rottentomatoes.com/m/after_midnight_2020
