title,critic_score,audience_score,runtime,mpaa_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,link
Where's Daddy?,100,100,,,,,,,[],"['Rel Dowdell', 'Unknown Actor']",['Rel Dowdell'],https://www.rottentomatoes.com/m/wheres_daddy
Brad Paisley's Comedy Rodeo,60,,,,,,,,[],[],[],https://www.rottentomatoes.com/m/brad_paisleys_comedy_rodeo
The Sharks,82,,,,,,,,[],"['Federico Morosini', 'Romina Bentancur', 'Lucía Garibaldi', 'Valeria Lois', 'Fabián Arenillas']",['Lucía Garibaldi'],https://www.rottentomatoes.com/m/the_sharks
Plagues of Breslau,86,51,1h 33m,,Showmax,,,"Apr 22, 2020","['crime', 'drama', 'mysteryandthriller']","['Miroslaw Brozek', 'Maksymilian Michasiów', 'Igor Kujawski', 'Lukasz Targosz', 'Ewa Kasprzyk', 'Tomasz Widarski', 'Aniko Kiss', 'Katarzyna Bujakiewicz', 'Malgorzata Bednarek', 'Patryk Vega', 'Daria Widawska', 'Malgorzata Kozuchowska', 'Jacek Beler']",['Patryk Vega'],https://www.rottentomatoes.com/m/the_plagues_of_breslau
Friendsgiving,19,24,1h 35m,R,Red Hour Films,"Oct 23, 2020",,"Oct 23, 2020","['comedy', 'other']","['Chelsea Peretti', 'Ryan Hansen', 'Jack Donnelly', 'Christine Taylor', 'Kat Dennings', 'Jane Seymour', 'Malin Akerman', 'Wanda Sykes', 'Ben Stiller', 'Nicholas Weinstock', 'Tara L. Craig', 'Terry Dougas', 'Neil Shapiro', 'Aisha Tyler', 'Haroon Saleem', 'Deon Cole', 'Paris Kassidokostas-Latsis', 'Nicol Paone']",['Nicol Paone'],https://www.rottentomatoes.com/m/friendsgiving
Three Worlds,38,46,1h 40m,,,,,"Feb 11, 2017",['drama'],"['Arta Dobroshi', 'Reda Kateb', 'Laurent Capelluto', 'Adèle Haenel', 'Raphaël Personnaz', 'Benoît Graffin', 'Claire Mathon', 'Brigitte Moidon', 'Clotilde Hesme', 'Radivoje Bukvic', 'Grégoire Hetzel', 'Fabienne Vonier', 'Mathieu Menut', 'Catherine Corsini', 'Jean-Pierre Malo', 'Alban Aumard', 'Muriel Breton']",['Catherine Corsini'],https://www.rottentomatoes.com/m/three_worlds
Cold Turkey,60,65,1h 39m,PG-13,Tandem Productions,,,"Jan 17, 2017",['comedy'],"['Ray Goulding', 'Vincent Gardenia', 'Tom Poston', 'Barnard Hughes', 'Norman Lear', 'Dick Van Dyke', 'Jean Stapleton', 'Pippa Scott', 'Bob Elliott', 'Graham Jarvis', 'Edward Everett Horton']",['Norman Lear'],https://www.rottentomatoes.com/m/cold_turkey
Plot for Peace,76,82,1h 24m,,,,,"Oct 4, 2016","['history', 'mysteryandthriller', 'documentary', 'drama']","['Diego Ollivier', 'Carlos Agulló', 'Antony Partos', 'Pik Botha', 'Winnie Mandela', 'Rita Noriega', 'Mandy Jacobson', 'Stephen Smith']","['Carlos Agulló', 'Mandy Jacobson']",https://www.rottentomatoes.com/m/plot_for_peace
My Bakery in Brooklyn,43,15,1h 40m,,New Bakery Productions,"Jan 20, 2017",,"Mar 7, 2017","['comedy', 'drama']","['Beatriz Bodegas', 'Griffin Newman', 'Linda Moran', 'Blanca Suárez', 'Ramiro Acero', 'Aitor Luna', 'Ward Horton', 'Ernie Sabella', 'Francisco Zegers', 'Laura Weber', 'Miguel P. Gilaberte', 'Enrique Arce', 'Aimee Teegarden', 'Gustavo Ron', 'Krysta Rodriguez', 'Rene Bastian']",['Gustavo Ron'],https://www.rottentomatoes.com/m/bakery_in_brooklyn
Cropsey,91,61,1h 24m,,Antidote Films,,,"Dec 23, 2016","['documentary', 'horror', 'crime', 'drama', 'mysteryandthriller']","['Jeffrey Levy-Hinte', 'Barbara Brancaccio', 'Alex Lasarenko', 'Chad Davidson', 'Anita Gabrosek', 'Zachary Mortensen', 'Joshua Zeman']","['Barbara Brancaccio', 'Joshua Zeman']",https://www.rottentomatoes.com/m/cropsey
The Mystery of the Pink Flamingo,100,,1h 26m,,Japonica Films,,,"Dec 1, 2020",['documentary'],"['Rigo Pex', 'Gerard Rodriguez', 'John Waters', 'Guillermo Polo', 'Allee Willis', 'Merli Feixa', 'Eduardo Casanova', 'Javier Polo Gandía']",['Javier Polo Gandía'],https://www.rottentomatoes.com/m/the_mystery_of_the_pink_flamingo
The Last Photograph,67,57,1h 25m,,,,,"Sep 6, 2019",['drama'],"['Sarita Choudhury', 'Danny Huston']",['Danny Huston'],https://www.rottentomatoes.com/m/the_last_photograph_2017
Used People,44,37,1h 55m,PG-13,,,,"Dec 7, 2016",['drama'],"['Todd Graff', 'Shirley MacLaine', 'Charles Cioffi', 'Jessica Tandy', 'Rachel Portman', 'Joe Pantoliano', 'Mathew Branton', 'David Watkin', 'Beeban Kidron', 'Bob Dishy', 'John Tintori', 'Marcello Mastroianni', 'Sylvia Sidney', 'Kathy Bates', 'Marcia Gay Harden', 'Peggy Rajski', 'Michael Barnathan']",['Beeban Kidron'],https://www.rottentomatoes.com/m/used_people
Boyhood,97,80,2h 45m,R,Detour Filmproduction,"Jul 18, 2014",,"Jan 7, 2016",['drama'],"['Ellar Coltrane', 'Lorelei Linklater', 'Jordan Howard', 'Evie Thompson', 'Cathleen Sutherland', 'Jonathan Sehring', 'Rodney Becker', 'Nick Krause', 'Patricia Arquette', 'Shane Kelly', 'Lee Daniel', 'Richard Linklater', 'Sandra Adair', 'John Sloss', 'Tamara Jolaine', 'Ethan Hawke']",['Richard Linklater'],https://www.rottentomatoes.com/m/boyhood
Ask No Questions,100,86,1h 19m,,,,,"Jun 28, 2020",['documentary'],"['Eric Pedicelli', 'Elijah Marchand', 'Caylan Ford', 'Jason Loftus']","['Eric Pedicelli', 'Jason Loftus']",https://www.rottentomatoes.com/m/ask_no_questions
Videocracy,67,39,1h 25m,,Det Danske Filminstitut,,,"Jan 25, 2017",['documentary'],"['Axel Arnö', 'Krister Linder', 'Johan Söderberg', 'David Österberg', 'Erik Gandini', 'Manuel Alberto Claro', 'Mikael Olsen', 'Kristina Aberg']",['Erik Gandini'],https://www.rottentomatoes.com/m/videocracy
London: The Modern Babylon,89,82,2h 5m,,,,,"Feb 15, 2017",['documentary'],"['Amanda Temple', 'Rosa Bosch', 'Julien Temple', 'George Hencken', 'Steve Organ', 'Stephen Malit', 'Caroline Richards']",['Julien Temple'],https://www.rottentomatoes.com/m/london_the_modern_babylon
Monogamy,48,27,1h 36m,,TBD,"Mar 11, 2011",,"Mar 8, 2017",['drama'],"['Madison Arnold', 'Neal Huff', 'Zak Orth', 'Ivan Martin', 'Hannah Gilli', 'Paul Diomede', 'Jeffrey V. Mandel', 'Meital Dohan', 'Dana Adam Shapiro', 'Tim Duff', 'Chuck Goodgal', 'Randy Manis', 'Doug Emmett', 'Rashida Jones', 'Sarah Burns', 'Chris Messina', 'Evan M. Wiener', 'Tom Heller']",['Dana Adam Shapiro'],https://www.rottentomatoes.com/m/monogamy
All Good Things,35,37,1h 41m,R,Groundswell Productions,"Dec 17, 2010",,"Dec 5, 2016",['mysteryandthriller'],"['Nick Offerman', 'Lily Rabe', 'Andrew Jarecki', 'Bruna Papandrea', 'Ryan Gosling', 'Michael London', 'Frank Langella', 'Kristen Wiig', 'Marcus Hinchey', 'Michael Esper', 'Harvey Weinstein', 'Marc Smerling', 'Bob Weinstein', 'Kirsten Dunst', 'Philip Baker Hall', 'Michelle Krumm']",['Andrew Jarecki'],https://www.rottentomatoes.com/m/all_good_things
The Invitation,89,69,1h 39m,,,"Apr 8, 2016",,"Aug 10, 2016","['drama', 'mysteryandthriller']","['Logan Marshall-Green', 'Matt Manfredi', 'Martha Griffin', 'Tammy Blanchard', 'Bobby Shore', 'Karl Yune', 'Theodore Shapiro', 'Jay Larson', 'Karyn Kusama', 'Michelle Krusiec', 'Nick Spicer', 'Phil Hay', 'Plummy Tucker', 'Michiel Huisman', 'Mike Doyle', 'Jordi Vilasuso', 'Emayatzy Corinealdi', 'Lindsay Burdge']",['Karyn Kusama'],https://www.rottentomatoes.com/m/the_invitation
The Warrior's Way,31,47,1h 40m,R,Mike's Movies,"Dec 3, 2010",,"Jun 23, 2011","['action', 'western', 'fantasy', 'sportsandfitness']","['Michael Peyser', 'Jang Dong-gun', 'Markus Hamilton', 'Eui Hong', 'Ti Lung', 'Danny Huston', 'Seung Jae Tcha', 'Satoru Iseki', 'Tim White', 'Sngmoo Lee', 'Geoffrey Rush', 'Nansun Shi', 'Barrie M. Osborne', 'Kate Bosworth', 'Jooick Lee', 'Tony Cox', 'Analin Rudd']",['Sngmoo Lee'],https://www.rottentomatoes.com/m/the-warriors-way
Begin Again,83,81,1h 44m,R,Exclusive Media,"Jul 2, 2014",,"Dec 5, 2016","['comedy', 'drama', 'romance']","['Catherine Keener', 'Anthony Bregman', 'Mark Ruffalo', 'James Corden', 'Tobin Armbrust', 'Maddie Corman', 'Guy East', 'Judd Apatow', 'Ben Nearn', 'CeeLo Green', 'Adam Levine', 'Hailee Steinfeld', 'Nigel Sinclair', 'Tom Rice', 'Keira Knightley', 'John Carney', 'Sam Hoffman', 'Yasiin Bey']",['John Carney'],https://www.rottentomatoes.com/m/begin_again_2013
Museum Hours,95,60,1h 47m,,,"Jun 28, 2013",,"Aug 10, 2016",['drama'],"['Patti Smith', 'Ela Piplits', ""Mary Margaret O'Hara"", 'Peter Röhsler', 'Gabriele Kranzelbinder', 'Jem Cohen', 'Bobby Sommer', 'Guy Picciotto', 'Paolo Calamita']",['Jem Cohen'],https://www.rottentomatoes.com/m/museum_hours
The Laundromat,41,40,1h 36m,R,Anonymous Content,"Sep 27, 2019",,"Oct 18, 2019",['comedy'],"['Scott Z. Burns', 'Michael Sugar', 'Jake Bernstein', 'Lawrence Grey', 'Sharon Stone', 'Steven Soderbergh', 'Gregory Jacobs', 'Jeffrey Wright', 'Robert Patrick', 'Antonio Banderas', 'Gary Oldman', 'Meryl Streep', 'David Schwimmer', 'Douglas Urbanski', 'Ben Everard']",['Steven Soderbergh'],https://www.rottentomatoes.com/m/the_laundromat
Amateur Night,0,25,1h 33m,,Punch Media,"Aug 5, 2016",,"Oct 6, 2016",['comedy'],"['Ashley Tisdale', 'Bria Murphy', 'Samuel Goldberg', 'Jenny Mollen', 'Shana Eddy-Grouf', 'Steven Weber', 'Jason Biggs', 'Jorge Garcia Castro', 'Mary Pat Bentel', 'Adrian Voo', 'Lisa Addario', 'Joe Syracuse', 'Jackie Levine', 'Janet Montgomery', 'Cedric Yarbrough', 'Diego Del Río Toca']","['Lisa Addario', 'Joe Syracuse']",https://www.rottentomatoes.com/m/amateur_night_2016
God Loves Uganda,100,77,1h 30m,,Full Credit Productions,"Oct 11, 2013",,"Mar 11, 2017","['gayandlesbian', 'documentary']","['Derek Wiesehahn', 'Julie Goldman', 'Richard Hankin', 'Roger Ross Williams', 'Scott Lively', 'Jake Clennell', 'Mette Hoffman', 'Benjamin Gray']",['Roger Ross Williams'],https://www.rottentomatoes.com/m/god_loves_uganda_2013
Red 2,44,63,1h 56m,PG-13,Di Bonaventura Pictures,"Jul 19, 2013",,"May 4, 2015","['action', 'comedy']","['Enrique Chediak', 'Dean Parisot', 'Lorenzo di Bonaventura', 'Mark Vahradian', 'Mary-Louise Parker', 'Brian Cox', 'Helen Mirren', 'Jim Clay', 'John Malkovich', 'Neal McDonough', 'Jake Myers', 'Anthony Hopkins', 'David Ready', 'Don Zimmerman', 'Bruce Willis', 'Erich Hoeber', 'David Thewlis', 'Jon Hoeber', 'Catherine Zeta-Jones', 'Lee Byung-hun']",['Dean Parisot'],https://www.rottentomatoes.com/m/red_2
Soul,95,88,1h 40m,PG,Pixar Animation Studios,,,"Dec 25, 2020","['comedy', 'kidsandfamily', 'animation', 'adventure']","['Kevin Nolting', 'Richard Ayoade', 'Alice Braga', 'Dan Scanlon', 'Pete Docter', 'Daveed Diggs', 'Jamie Foxx', 'Phylicia Rashad', 'Rachel House', 'Angela Bassett', 'Kemp Powers', 'Mike Jones', 'Kiri Hart', 'Tina Fey', 'Ahmir ""Questlove"" Thompson', 'Dana Murray', 'Graham Norton', 'Trent Reznor']",['Pete Docter'],https://www.rottentomatoes.com/m/soul_2020
King of Thieves,33,26,1h 48m,R,Working Title Films,"Jan 25, 2019",,"Jan 25, 2019","['comedy', 'drama']","['Jim Broadbent', 'Ray Winstone', 'Eric Fellner', 'Michael Caine', 'Michelle Wright', 'Nick Moore', 'James Marsh', 'Tom Courtenay', 'Paul Whitehouse', 'Francesca Annis', 'Charlie Cox', 'Michael Gambon', 'Joe Penhall', 'Ali Jaafar', 'Jinx Godfrey', 'Danny Cohen', 'Benjamin Wallfisch', 'Tim Bevan']",['James Marsh'],https://www.rottentomatoes.com/m/king_of_thieves_2019
