imdb_link,title,release_year,critic_score,audience_score,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,rotten_link,count_award,user_rate,imdb_rating,plot_des,runtime,budget,opening_weekend_gross,box_office_gross,studio,mpaa_rating
https://www.imdb.com/title/tt3340712/,,2014,96,81,"Feb 27, 2015",,"Mar 28, 2016","['action', 'mysteryandthriller']","['Hugo Heppell', 'Sean Harris', 'Barry Keoghan', 'Killian Scott', 'Martin McCann', 'Charlie Murphy', 'Angus Lamont', 'Sam Reid', 'Paul Anderson', 'Mark Herbert', 'Richard Dormer', 'Gregory Burke', ""Jack O'Connell"", 'Dan MacRae', 'Robin Gutch', 'Danny Perkins', 'David Wilmot', 'Tessa Ross', 'Sam Lavender', 'Yann Demange']",['Yann Demange'],https://www.rottentomatoes.com/m/71_2015,0,8.2,,The day to day of two unwilling patrol officers affected by troubled pasts.,60,,,,Echo Media,TV-MA
https://www.imdb.com/title/tt10481868/,BLACK CHRISTMAS,2019,38,31,"Dec 13, 2019",,"Dec 13, 2019","['mysteryandthriller', 'other', 'horror']","['April Wolfe', ""Brittany O'Grady"", 'Sophia Takal', 'Jeanette Volturno', 'Adam Hendricks', 'Simon Mead', 'Madeleine Adams', 'Ben Cosgrove', 'Ben Black', 'Caleb Eberhardt', 'Cary Elwes', 'Greg Gilreath', 'Couper Samuelson', 'Nathalie Morris', 'Lily Donoghue', 'Jason Blum', 'Imogen Poots', 'Brigitte Berman', 'Aleyse Shannon']",['Sophia Takal'],https://www.rottentomatoes.com/m/black_christmas_2019,0,3.4,,A group of female students is stalked by a stranger during their Christmas break. That is until the young sorority pledges discover that the killer is part of an underground college conspiracy.,92,"$5,000,000","$4,240,245","$18,529,730",Universal Pictures,PG-13
https://www.imdb.com/title/tt1588334/,JEFF WHO LIVES AT HOME,2011,77,62,"Mar 16, 2012",,"Jun 6, 2014","['comedy', 'drama']","['Jason Reitman', 'Lee Nguyen', 'Chris Spellman', 'Mark Duplass', 'Jay Deuby', 'Jason Segel', 'Lianne Halfon', 'Ed Helms', 'Russell Smith', 'Susan Sarandon', 'Evan Ross', 'Judy Greer', 'Steve Zissis', 'Jay Duplass', 'Jas Shelton', 'Michael Andrews', 'Terri Taylor', 'Rae Dawn Chong']",['Jay Duplass'],https://www.rottentomatoes.com/m/jeff_who_lives_at_home,0,6.5,,"Dispatched from his basement room on an errand for his widowed mother, slacker Jeff might discover his destiny (finally) when he spends the day with his unhappily married brother as he tracks his possibly adulterous wife.",83,"$10,000,000","$855,709","$4,704,757",Indian Paintbrush,R
https://www.imdb.com/title/tt2101383/,KNIGHT OF CUPS,2015,47,37,"Mar 4, 2016",,"Jun 14, 2016",['drama'],"['Christian Bale', 'Keith Fraase', 'Ken Kao', 'Wes Bentley', 'Geoffrey Richman', 'Emmanuel Lubezki', 'Natalie Portman', 'Nicolas Gonda', 'Tanner Beard', 'Freida Pinto', 'Teresa Palmer', 'Glen Basner', 'Armin Mueller-Stahl', 'Brian Dennehy', 'Sarah Green', 'Antonio Banderas', 'Terrence Malick', 'Cate Blanchett', 'Isabel Lucas']",['Terrence Malick'],https://www.rottentomatoes.com/m/knight_of_cups,0,5.7,,A writer indulging in all that Los Angeles and Las Vegas has to offer undertakes a search for love and self via a series of adventures with six different women.,118,,"$60,551","$1,026,288",Dogwood Films,R
https://www.imdb.com/title/tt0970866/,LITTLE FOCKERS,2010,9,34,"Dec 22, 2010",,"Aug 16, 2016",['comedy'],"['Jessica Alba', 'Meghan Lyvers', 'Dustin Hoffman', 'Ben Stiller', 'John Hamburg', 'Nancy Tenenbaum', 'Barbra Streisand', 'Owen Wilson', 'Larry Stuckey', 'Teri Polo', 'Laura Dern', 'Jane Rosenthal', 'Daniel Lupi', 'Blythe Danner', 'Harvey Keitel', 'Jay Roach', 'Robert De Niro', 'Paul Weitz']",['Paul Weitz'],https://www.rottentomatoes.com/m/little_fockers,2,5.5,,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?",98,"$100,000,000","$30,833,665","$310,650,585",Universal Pictures,PG-13
https://www.imdb.com/title/tt2872732/,LUCY,2014,66,47,"Jul 25, 2014",,"May 17, 2016","['action', 'scifi', 'mysteryandthriller']","['Nicolas Phongpheth', 'Scarlett Johansson', 'Gilles Boillot', 'Amr Waked', 'Marc Shmuger', 'Luca Angeletti', 'Eric Serra', 'Julian Rhind-Tutt', 'Virginie Besson-Silla', 'Morgan Freeman', 'Luc Besson', 'Julien Rey', 'Pilou Asbæk', 'Choi Min-sik', 'Jan Oliver Schroeder', 'Analeigh Tipton', 'Thierry Arbogast', 'Hugues Tissandier', 'Olivier Bériot']",['Luc Besson'],https://www.rottentomatoes.com/m/lucy_2014,0,6.4,,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",89,"$40,000,000","$43,899,340","$458,863,600",EuropaCorp,R
https://www.imdb.com/title/tt4824302/,MOTHERS DAY,2016,8,44,"Apr 29, 2016",,"Aug 2, 2016","['comedy', 'drama', 'romance']","['Héctor Elizondo', 'Garry Marshall', 'Aasif Mandvi', 'Britt Robertson', 'Timothy Olyphant', 'Jack Whitehall', 'Matt Walker', 'Jennifer Aniston', 'Mark DiSalle', 'Jennifer Garner', 'Julia Roberts', 'Kate Hudson', 'Mike Karz', 'Wayne Rice', 'Brandt Andersen', 'Anya Kochoff Romano', 'Tom Hines', 'Jason Sudeikis', 'Daniel Diamond', 'Howard Burd']",['Garry Marshall'],https://www.rottentomatoes.com/m/mothers_day_2016,0,5.7,,Three generations come together in the week leading up to Mother's Day.,118,"$25,000,000","$8,369,184","$48,782,670",Open Road Films (II),PG-13
https://www.imdb.com/title/tt7260048/,OUTSIDE IN,2017,95,76,"Mar 30, 2018",,"Apr 3, 2018",['drama'],"['Edie Falco', 'Ben Schwartz', 'Mel Eslyn', 'Mark Duplass', 'Lacey Leavitt', 'Kaitlyn Dever', 'Lynn Shelton', 'Nathan M. Miller', 'Celia Beasley', 'Jay Duplass']",['Lynn Shelton'],https://www.rottentomatoes.com/m/outside_in_2018,0,6.7,,An ex-con struggling to readjust to life in his small town forms an intense bond with his former high school teacher.,109,,"$14,136","$68,492",Duplass Brothers Productions,Not Rated
https://www.imdb.com/title/tt2299842/,PIETA,2012,73,72,"May 17, 2013",,"Feb 15, 2017","['drama', 'mysteryandthriller']","['Woo Gi-hong', 'Lee Myung-ja', 'Jae-rok Kim', 'Park In-young', 'Lee Hyun-joo', 'Kim Ki-duk', 'Jo Yeong-jik', 'Kim Woo-taek', 'Kang Eun-jin', 'Won-jang Lee', 'Jo Jae-ryong', 'Kim Soon-mo', 'Jo Min-soo', 'Lee Jung-jin']",['Kim Ki-duk'],https://www.rottentomatoes.com/m/pieta_2013,0,7.2,,A loan shark is forced to reconsider his violent lifestyle after the arrival of a mysterious woman claiming to be his long-lost mother.,103,"€103,000","$6,222","$6,616,296",Good Film,Not Rated
https://www.imdb.com/title/tt1411250/,RIDDICK,2013,57,56,"Sep 6, 2013",,"Dec 9, 2015","['action', 'scifi', 'adventure', 'mysteryandthriller']","['Ted Field', 'Karl Urban', 'Dave Bautista', 'Mike Drake', 'Nolan Gerard Funk', 'Danny Blanco Hall', 'Vin Diesel', 'David Twohy', 'Raoul Trujillo', 'David Eggby', 'George Zakk', 'Katee Sackhoff', 'Samantha Vincent', 'Tracy Adams', 'Joseph Nemec III', 'Conrad Pla', 'Bokeem Woodbine', 'Jordi Mollà']",['David Twohy'],https://www.rottentomatoes.com/m/riddick,0,6.4,,"Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.",119,"$38,000,000","$19,030,375","$98,337,295",Riddick Canada Productions,R
